Iterations, StdDeviation
211,310757.8991074285
212,303040.1833876846
213,313130.92299630906
214,295607.9472891824
215,318427.43729927944
216,310756.256733561
217,299964.5048497632
218,287597.5989921663
219,289595.0348341637
220,295647.63997699524
221,287761.62082713563
222,314905.60352462594
223,313233.48835844855
224,304372.7907664031
225,314636.8115328466
226,304156.63796802366
227,288779.1212076216
228,318066.6346494332
229,306053.6821950943
230,304817.597183918
231,303022.51106200373
232,298770.3939220919
233,284184.24250174384
234,308471.78742804547
235,298798.65078344056
236,305261.2604486093
237,312115.42196300253
238,311133.4357736879
239,292239.6656271029
240,312119.35758754116
241,329321.90701020503
242,301043.9829569539
243,309325.98169246584
244,310211.2916929667
245,306678.4822537566
246,303934.07580111106
247,287455.53937916935
248,310410.1500900068
249,319618.8215688034
250,306894.7617124807
251,298629.4008046363
252,289506.80602384376
253,324593.1467634635
254,303168.6959725396
255,318382.5097535274
256,293588.3159764984
257,277241.58909605833
258,301165.7826291401
259,287109.70995956013
260,307193.8148186463
261,316653.749625991
262,308249.18068019615
263,307159.0392635969
264,312178.6307693709
265,302324.945928704
266,312972.51176537
267,275662.05964667205
268,304619.74472698575
269,314871.5536250699
270,305284.44958890806
271,326396.1364672748
272,319933.967485064
273,293139.9941292089
274,303835.2656613312
275,294281.67034182325
276,313484.49235641
277,279573.71582311206
278,303246.3254941158
279,309483.0427589651
280,316024.9263450539
281,303839.67807831545
282,303254.35771301447
283,308893.784671233
284,294027.057493321
285,315195.3380334258
286,308327.47006790404
287,312398.3765237521
288,300799.02285108203
289,296333.5531393284
290,308601.0697444899
291,311264.67720696534
292,293907.1497328341
293,282961.85194828676
294,286017.45970407216
295,303622.54010149615
296,294486.9008194909
297,311881.1420503914
298,315470.09698051895
299,311772.3403353572
300,299956.9264061092
301,313096.67111976
302,300050.22539402836
303,294951.34135693987
304,290800.7798907467
305,301197.3040171814
306,303926.40793941315
307,325806.2634945326
308,305369.31545985816
309,317095.29225138226
310,312489.44723081315
311,283422.3031248289
312,318071.9235953568
313,310195.84803219157
314,308170.1184465295
315,315137.05751329934
316,296458.7511704616
317,326573.94791478245
318,312539.44401690125
319,321069.1316623785
320,314904.587117543
321,302524.3665609242
322,310284.6896158935
323,285659.6767721778
324,318292.26622876147
325,283804.2773424492
326,295655.89703909575
327,309155.6211328265
328,288963.52505700284
329,299292.26060270454
330,310849.2130059947
331,312570.91247372876
332,293162.02038004657
333,315474.927144272
334,297405.02368074656
335,287496.24954923947
336,310576.63547810965
337,306305.7839029946
338,307020.44007655757
339,314173.2659237945
340,311359.2884771533
341,298817.9876478629
342,285938.6350616677
343,291176.7711180511
344,320160.009693021
345,302969.6185864011
346,315242.473183895
347,274900.53245541675
348,303043.2007237662
349,306403.55861432326
350,294884.9197410643
351,303497.3989357835
352,310190.50095388404
353,299499.74304588727
354,313456.242269114
355,297299.48300780304
356,302875.7665547875
357,288881.7102563873
358,310520.4413267785
359,299977.9654843189
360,302829.2957800454
361,321043.9843584751
362,315334.96142875496
363,307544.73872961145
364,297928.8156525425
365,285346.849782643
366,307349.2237296151
367,303888.81073485664
368,288364.6855064527
369,309895.60878875473
370,302683.39299426647
